,character,value
0,1,Pinocchio
1,1,Mr. Pinocchio
2,1,Marionette
3,1,Donkey
4,2,Geppetto
5,2,Mastro Geppetto
6,2,Polendina
7,2,Father
8,3,Carabineer
9,4,Carabineers
10,4,Mastriffs
11,5,Talking Cricket
12,5,Cricket
13,6,Marionettes
14,7,Pulcinella
15,8,Harlequin
16,9,Signora Rosaura
17,10,Fire Eater
18,10,Director
19,11,Fox
20,12,Cat
21,13,Blackbird
22,14,Innkeeper
23,15,Assassins
24,16,Lovely Maiden
25,16,Lovely Maiden with Azure Hair
26,17,Doctors
27,18,Owl
28,19,Crow
29,20,Fairy
30,20,Fairy with Azure Hair
31,21,Rabbit
32,22,Falcon
33,23,Medoro
34,23,Poodle
35,24,Rabbits
36,25,Parrot
37,25,Mr. Parrot
38,26,Serpent
39,26,Mr. Serpent
40,27,Judge
41,28,Jailer
42,29,Farmer
43,30,Glowworm
44,31,Melampo
45,32,Weasels
46,33,Weasel
47,34,Pigeon
48,35,Mr. Fish
49,35,Fish
50,36,Terrible Shark
51,36,Shark
52,37,Coal Man
53,38,Bricklayer
54,39,Eugene
55,40,Crab
56,41,Alidoro
57,41,Dog
58,41,Mastiff
59,42,Fisherman
60,42,Green Fisherman
61,43,Snail
62,44,Lamp-Wick
63,44,Romeo
64,45,Little Man
65,45,Mr. Driver
66,46,Dormouse
67,47,Manager
68,47,Owner
69,48,Master
70,49,Goat
71,50,Tunny
72,51,Chick
73,52,Farmer John
74,53,Donkeys
75,54,Mastro Cherry
76,54,Mastro Antonio
