Community,Entity
0,Dr. Henry Jekyll
0,Jekyll
0,Dr. Jekyll
0,Master Hyde
0,Henry
0,Henry Jekyll
0,Harry
0,Harry Jekyll
0,Hyde
0,Mr. Hyde
0,Edward Hyde
0,Dr. Henry
1,Enfield
1,Mr. Richard Enfield
1,Richard
1,Mr. Enfield
2,Utterson
2,Gabriel John Utterson
2,Mr. Utterson
2,G. J. Utterson
3,Guest
3,Mr. Guest
4,Carew
4,Danvers Carew
5,Dr. Lanyon
5,Lanyon
6,Dr. Fell
7,Inspector Newcomen
8,Dr. Denman
9,Sir Danvers
10,Mr. Seek
11,Dr. J
12,Pythias
13,Cain
14,Satan
15,Maw
16,Damon
17,Messrs
18,Sawbones
19,Coutts
20,Poole
21,Bradshaw
